"","energy.gap","ss.entropy","energy.barrier","e.realize","e.stable","e.tipping","state.id","stable.state.id"
"S_0001",9.85536065063416,7.30106382266431,5.20715716834324,6.16062342419011,-3.69473722644405,1.5124199418992,"nm34W8A","aG00000"
"S_0004",12.1567709394627,7.23230317902371,5.20715716834324,8.46203371301862,-3.69473722644405,1.5124199418992,"1m7000E","aG00000"
"S_0005",11.1068562572789,7.25422917830995,5.20715716834324,7.41211903083488,-3.69473722644405,1.5124199418992,"nm7CY8E","aG00000"
"S_0006",11.0047527293469,7.41531552789003,5.20715716834324,7.31001550290283,-3.69473722644405,1.5124199418992,"nm3028E","aG00000"
"S_0009",11.473971451799,7.35230351288609,5.20715716834324,7.77923422535498,-3.69473722644405,1.5124199418992,"Hm5408A","aG00000"
"S_0010",11.8657620127407,7.31537950423019,5.20715716834324,8.17102478629667,-3.69473722644405,1.5124199418992,"nm7Co8A","aG00000"
"S_0011",10.0838648354544,7.08393890455361,5.20715716834324,6.38912760901033,-3.69473722644405,1.5124199418992,"nm3C28A","aG00000"
"S_0012",9.33945528095275,7.53475270747445,5.20715716834324,5.6447180545087,-3.69473722644405,1.5124199418992,"nm7C08A","aG00000"
"S_0013",11.7593447327484,7.41635368841353,5.20715716834324,8.06460750630439,-3.69473722644405,1.5124199418992,"nm3C28E","aG00000"
"S_0014",11.0395653994959,7.59741361035191,5.20715716834324,7.34482817305185,-3.69473722644405,1.5124199418992,"nm3428E","aG00000"
"S_0015",9.41961021737604,7.27688119790708,5.20715716834324,5.724872990932,-3.69473722644405,1.5124199418992,"nm3C08A","aG00000"
"S_0016",12.1261925448822,7.00187062940345,5.20715716834324,8.43145531843816,-3.69473722644405,1.5124199418992,"nm3408U","aG00000"
"S_0017",16.787360859311,7.21570449791286,4.86607128921311,13.4337095119971,-3.35365134731391,1.5124199418992,"nDK1P0E","sb76Jm8"
"S_0018",9.77970668068781,7.5134336333857,4.86607128921311,6.4260553333739,-3.35365134731391,1.5124199418992,"tDM5n0S","sb76Jm8"
"S_0019",12.0840783929547,7.45657916353219,4.86607128921311,8.73042704564076,-3.35365134731391,1.5124199418992,"pDN5v0S","sb76Jm8"
"S_0020",12.9732064925647,7.090746909415,5.20715716834324,9.27846926612061,-3.69473722644405,1.5124199418992,"H8K0108","aG00000"
"S_0022",13.6368664564889,7.47783985264201,4.86607128921311,10.283215109175,-3.35365134731391,1.5124199418992,"pDL1x0C","sb76Jm8"
"S_0023",12.5522557001207,7.2862747046713,4.86607128921311,9.19860435280682,-3.35365134731391,1.5124199418992,"pFN0H4C","sb76Jm8"
"S_0025",12.3630100844664,7.3440086063367,5.20715716834324,8.66827285802234,-3.69473722644405,1.5124199418992,"vw00900","aG00000"
"S_0026",24.0802635258935,7.24726473849374,4.86607128921311,20.7266121785796,-3.35365134731391,1.5124199418992,"tiF9Zc0","sb76Jm8"
"S_0027",15.1505175390519,7.47672449977521,4.86607128921311,11.796866191738,-3.35365134731391,1.5124199418992,"deE8Z08","sb76Jm8"
"S_0028",9.7485689047217,7.54137149436821,4.86607128921311,6.39491755740778,-3.35365134731391,1.5124199418992,"pW30f08","sb76Jm8"
"S_0029",12.7949893553706,7.14789951378358,5.20715716834324,9.10025212892654,-3.69473722644405,1.5124199418992,"pe30X40","aG00000"
"S_0030",18.8875197724558,7.11466066672221,4.86607128921311,15.5338684251419,-3.35365134731391,1.5124199418992,"/TQ1n0E","sb76Jm8"
"S_0031",16.2125253836792,6.95287157327737,4.86607128921311,12.8588740363653,-3.35365134731391,1.5124199418992,"pDT1J4S","sb76Jm8"
"S_0032",7.59445741982606,7.36984504750948,4.86607128921311,4.24080607251214,-3.35365134731391,1.5124199418992,"tjNHp0D","sb76Jm8"
"S_0033",6.95125428488193,7.52203694634137,5.20715716834324,3.25651705843789,-3.69473722644405,1.5124199418992,"fG00902","aG00000"
"S_0036",7.19811172928595,7.52612421761777,5.20715716834324,3.5033745028419,-3.69473722644405,1.5124199418992,"mW20X00","aG00000"
"S_0037",15.1559199407214,7.42715200729036,4.86607128921311,11.8022685934075,-3.35365134731391,1.5124199418992,"pi24dW8","sb76Jm8"
"S_0039",13.9258771387155,7.28508220997221,5.20715716834324,10.2311399122714,-3.69473722644405,1.5124199418992,"1I00d00","aG00000"
"S_0040",10.3184545244464,7.23272213734897,5.20715716834324,6.62371729800239,-3.69473722644405,1.5124199418992,"nu00900","aG00000"
"S_0041",7.23794200579253,7.26282535920614,5.20715716834324,3.54320477934849,-3.69473722644405,1.5124199418992,"vmW0001","aG00000"
"S_0042",19.3034364104134,7.25184200530068,4.86607128921311,15.9497850630995,-3.35365134731391,1.5124199418992,"fb6SpqO","sb76Jm8"
"S_0043",12.2768332928546,7.4140481339443,5.20715716834324,8.5820960664106,-3.69473722644405,1.5124199418992,"eW202KC","aG00000"
"S_0044",11.1621531348529,7.3979335648818,4.86607128921311,7.80850178753895,-3.35365134731391,1.5124199418992,"iX34pGC","sb76Jm8"
"S_0046",7.71408734020575,7.47452480575077,5.20715716834324,4.01935011376171,-3.69473722644405,1.5124199418992,"1G00f00","aG00000"
"S_0047",17.8187372227851,7.33930688156912,5.20715716834324,14.1239999963411,-3.69473722644405,1.5124199418992,"nQ02h02","aG00000"
"S_0048",10.9028305625668,6.98468809992569,5.20715716834324,7.20809333612277,-3.69473722644405,1.5124199418992,"Xn20B0A","aG00000"
"S_0051",12.4771695349639,7.15180110465883,5.20715716834324,8.78243230851989,-3.69473722644405,1.5124199418992,"no7028E","aG00000"
"S_0052",8.2562844226295,7.27845399682966,5.20715716834324,4.56154719618546,-3.69473722644405,1.5124199418992,"nm3C208","aG00000"
"S_0053",11.5931953474717,7.47132817157727,5.20715716834324,7.89845812102765,-3.69473722644405,1.5124199418992,"vm7C28E","aG00000"
"S_0054",10.1929679804012,7.22682762132263,5.20715716834324,6.49823075395712,-3.69473722644405,1.5124199418992,"vm00G2B","aG00000"
"S_0055",6.8720504454035,7.46693481313349,5.20715716834324,3.17731321895945,-3.69473722644405,1.5124199418992,"vm00G09","aG00000"
"S_0056",13.621768722983,7.22753716686461,5.20715716834324,9.92703149653896,-3.69473722644405,1.5124199418992,"zqYGG2D","aG00000"
"S_0057",16.1514367911934,7.39689488774576,5.20715716834324,12.4566995647493,-3.69473722644405,1.5124199418992,"vo7428Q","aG00000"
"S_0058",10.0838648354544,7.41118653615604,5.20715716834324,6.38912760901033,-3.69473722644405,1.5124199418992,"nm3C28A","aG00000"
"S_0059",11.6195570071906,7.56085339560493,5.20715716834324,7.92481978074656,-3.69473722644405,1.5124199418992,"1o1000A","aG00000"
"S_0060",12.3073387574074,7.22854399229873,5.20715716834324,8.61260153096334,-3.69473722644405,1.5124199418992,"nm3CW0U","aG00000"
"S_0061",12.486273449302,7.3009439712349,5.20715716834324,8.79153622285792,-3.69473722644405,1.5124199418992,"nm7C2OE","aG00000"
"S_0062",6.16065837702836,7.18780377365134,5.20715716834324,2.46592115058431,-3.69473722644405,1.5124199418992,"nm14008","aG00000"
"S_0063",9.30276557164572,7.48928485516796,5.20715716834324,5.60802834520167,-3.69473722644405,1.5124199418992,"vm7408A","aG00000"
"S_0064",13.0822312319504,7.18904882242584,5.20715716834324,9.38749400550635,-3.69473722644405,1.5124199418992,"vo7428E","aG00000"
"S_0065",24.1880499335348,7.72122455616576,4.86607128921311,20.8343985862209,-3.35365134731391,1.5124199418992,"/qIGzAV","sb76Jm8"
"S_0066",23.5768840518715,7.24401708269215,4.86607128921311,20.2232327045575,-3.35365134731391,1.5124199418992,"/sgGm8T","sb76Jm8"
"S_0067",16.2140381773193,7.34044841208545,5.20715716834324,12.5193009508752,-3.69473722644405,1.5124199418992,"zaM0W2D","aG00000"
"S_0068",16.7927073415144,7.19905559611187,5.20715716834324,13.0979701150704,-3.69473722644405,1.5124199418992,"vsc4W8D","aG00000"
"S_0071",6.60076262602164,7.54233028769878,5.20715716834324,2.90602539957759,-3.69473722644405,1.5124199418992,"Xm1000A","aG00000"
"S_0072",15.662629970273,7.13831353401625,5.20715716834324,11.9678927438289,-3.69473722644405,1.5124199418992,"vm742OU","aG00000"
"S_0073",15.924264154601,7.052644917432,4.86607128921311,12.5706128072871,-3.35365134731391,1.5124199418992,"/jJHF0S","sb76Jm8"
"S_0074",13.7687555681502,7.36808320450686,4.86607128921311,10.4151042208363,-3.35365134731391,1.5124199418992,"tFNHv0S","sb76Jm8"
"S_0075",16.5785349756421,7.68897082350722,4.86607128921311,13.2248836283282,-3.35365134731391,1.5124199418992,"tFNLJ1S","sb76Jm8"
"S_0077",10.5928727160756,7.64496777880069,4.86607128921311,7.23922136876166,-3.35365134731391,1.5124199418992,"pDN1X0C","sb76Jm8"
"S_0078",23.1323417349324,7.10297537236232,5.20715716834324,19.4376045084884,-3.69473722644405,1.5124199418992,"zscKa8V","aG00000"
"S_0079",17.3711552944249,7.12907282519704,5.20715716834324,13.6764180679809,-3.69473722644405,1.5124199418992,"zq2Ie0F","aG00000"
"S_0080",24.2018152296042,7.47703466308102,4.86607128921311,20.8481638822903,-3.35365134731391,1.5124199418992,"zrt0q8V","sb76Jm8"
"S_0081",18.3361983567011,7.3772807839533,4.86607128921311,14.9825470093871,-3.35365134731391,1.5124199418992,"rDNN50S","sb76Jm8"
"S_0082",20.3869990539917,7.19946262236474,4.86607128921311,17.0333477066778,-3.35365134731391,1.5124199418992,"tDNJv4y","sb76Jm8"
"S_0083",12.2795819421812,7.26215430837377,4.86607128921311,8.92593059486725,-3.35365134731391,1.5124199418992,"tDNLv0S","sb76Jm8"
"S_0084",19.5882978508779,7.37349754355145,4.86607128921311,16.2346465035639,-3.35365134731391,1.5124199418992,"tlVHz2S","sb76Jm8"
"S_0085",16.2493887102027,7.18608106364046,4.86607128921311,12.8957373628888,-3.35365134731391,1.5124199418992,"/DMrL0S","sb76Jm8"
"S_0086",23.5574289449295,7.44837833981451,4.86607128921311,20.2037775976155,-3.35365134731391,1.5124199418992,"tVNrR0S","sb76Jm8"
"S_0087",18.4223604823558,7.64550034077879,4.86607128921311,15.0687091350418,-3.35365134731391,1.5124199418992,"/DtHv0S","sb76Jm8"
"S_0088",13.0806472434565,6.85765342709674,4.86607128921311,9.7269958961426,-3.35365134731391,1.5124199418992,"tjNLV4S","sb76Jm8"
"S_0089",16.4830005471606,7.05841097725897,4.86607128921311,13.1293491998467,-3.35365134731391,1.5124199418992,"/jNH544","sb76Jm8"
"S_0090",19.9144066145457,7.52300886218736,4.86607128921311,16.5607552672318,-3.35365134731391,1.5124199418992,"rDNXT0E","sb76Jm8"
"S_0091",19.0772257353129,7.49723079356934,4.86607128921311,15.7235743879989,-3.35365134731391,1.5124199418992,"pDJrx0U","sb76Jm8"
"S_0092",17.2983259344301,7.29661901646975,4.86607128921311,13.9446745871162,-3.35365134731391,1.5124199418992,"tFNHz0F","sb76Jm8"
