"","X_004","X_005","X_007","X_008","X_009","X_011","X_012","X_013","X_014","X_015","X_016","X_017","X_018","X_019","X_020","X_021","X_022","X_024","X_026","X_028","X_038","X_041"
"HS2_0001",1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0
"HS2_0002",1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"HS2_0003",1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
"HS2_0004",1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"HS2_0005",1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
"HS2_0006",1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"HS2_0007",1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
"HS2_0008",1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"HS2_0009",1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"HS2_0010",1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
"HS2_0011",1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"HS2_0012",1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"HS2_0013",1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"HS2_0014",1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
"HS2_0015",1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"HS2_0016",1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"HS2_0017",1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0
"HS2_0018",1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0
"HS2_0019",1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"HS2_0020",1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
"HS2_0021",1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
