Sample_name,Day,Plate,Location,Medium
HSI_193,0,0,1,NA
HSI_194,0,0,2,NA
HSI_195,0,0,3,NA
HSI_196,0,0,4,NA
HSI_197,0,0,5,NA
HSI_198,0,0,6,NA
HSI_199,0,0,7,NA
HSI_200,0,0,8,NA
HS2_0001,2,1,o2,G
HS2_0002,2,1,m2,G
HS2_0003,2,1,k2,G
HS2_0004,2,1,i2,G
HS2_0005,2,1,g2,G
HS2_0006,2,1,e2,G
HS2_0007,2,1,c2,G
HS2_0008,2,1,a2,G
HS2_0009,2,1,o4,G
HS2_0010,2,1,m4,G
HS2_0011,2,1,k4,G
HS2_0012,2,1,i4,G
HS2_0013,2,1,g4,G
HS2_0014,2,1,e4,G
HS2_0015,2,1,c4,G
HS2_0016,2,1,a4,G
HS2_0017,2,1,o6,G
HS2_0018,2,1,m6,G
HS2_0019,2,1,k6,G
HS2_0020,2,1,i6,G
HS2_0021,2,1,g6,G
HS2_0022,2,1,e6,G
HS2_0023,2,1,c6,G
HS2_0024,2,1,a6,G
HS2_0025,2,1,o8,G
HS2_0026,2,1,m8,G
HS2_0027,2,1,k8,G
HS2_0028,2,1,i8,G
HS2_0029,2,1,g8,G
HS2_0030,2,1,e8,G
HS2_0031,2,1,c8,G
HS2_0032,2,1,a8,G
HS2_0033,2,1,o10,G
HS2_0034,2,1,m10,G
HS2_0035,2,1,k10,G
HS2_0036,2,1,i10,G
HS2_0037,2,1,g10,G
HS2_0038,2,1,e10,G
HS2_0039,2,1,c10,G
HS2_0040,2,1,a10,G
HS2_0041,2,1,o12,G
HS2_0042,2,1,m12,G
HS2_0043,2,1,k12,G
HS2_0044,2,1,i12,G
HS2_0045,2,1,g12,G
HS2_0046,2,1,e12,G
HS2_0047,2,1,c12,G
HS2_0048,2,1,a12,G
HS2_0049,2,1,o14,GL
HS2_0050,2,1,m14,GL
HS2_0051,2,1,k14,GL
HS2_0052,2,1,i14,GL
HS2_0053,2,1,g14,GL
HS2_0054,2,1,e14,GL
HS2_0055,2,1,c14,GL
HS2_0056,2,1,a14,GL
HS2_0057,2,1,o16,GL
HS2_0058,2,1,m16,GL
HS2_0059,2,1,k16,GL
HS2_0060,2,1,i16,GL
HS2_0061,2,1,g16,GL
HS2_0062,2,1,e16,GL
HS2_0063,2,1,c16,GL
HS2_0064,2,1,a16,GL
HS2_0065,2,1,o18,GL
HS2_0066,2,1,m18,GL
HS2_0067,2,1,k18,GL
HS2_0068,2,1,i18,GL
HS2_0069,2,1,g18,GL
HS2_0070,2,1,e18,GL
HS2_0071,2,1,c18,GL
HS2_0072,2,1,a18,GL
HS2_0073,2,1,o20,GL
HS2_0074,2,1,m20,GL
HS2_0075,2,1,k20,GL
HS2_0076,2,1,i20,GL
HS2_0077,2,1,g20,GL
HS2_0078,2,1,e20,GL
HS2_0079,2,1,c20,GL
